Texts,content,corpus
 The product received was good but the delivery boy 'Susanta Sasmal' was very rude and threatened while exchanging the old phone. He intentionally scratched the mobile and reduced the value.,human,product receiv good deliveri boy susanta sasmal rude threaten exchang old phone intent scratch mobil reduc valu
 Genuine,human,genuin
 good,human,good
"AI can help us improve the accuracy and efficiency of logistics and transportation, from route optimization to delivery tracking.",bot,ai help us improv accuraci effici logist transport rout optim deliveri track
"The use of artificial intelligence in decision-making processes presents opportunities for efficiency and accuracy, but also raises concerns about transparency and ethical implications.",bot,use artifici intellig decis make process present opportun effici accuraci also rais concern transpar ethic implic
"The beach was deserted, with only the sound of crashing waves and the occasional seagull to break the peaceful silence.",bot,beach desert sound crash wave occasion seagul break peac silenc
" Awesome phone, but great deal from Flipkart!Thanks Flipkart!??",human,awesom phone great deal flipkart thank flipkart
"The use of renewable energy sources such as biofuels and solar-thermal presents opportunities for clean and sustainable energy, but also requires careful consideration of environmental and economic factors.",bot,use renew energi sourc biofuel solar thermal present opportun clean sustain energi also requir care consider environment econom factor
 All good,human,good
" I don't know what I should say ...Apple is not selling phones. they're selling dreams , emotion, feelings and achievement. I am using an iPhone in my life for the very first time but it always gives me motivation to achieve  more.Thanks Apple ??",human,know say appl sell phone sell dream emot feel achiev use iphon life first time alway give motiv achiev thank appl
"The use of robotics in logistics and supply chain management presents opportunities for efficiency and automation, but also raises concerns about job displacement and ethical implications.",bot,use robot logist suppli chain manag present opportun effici autom also rais concern job displac ethic implic
 Phone gets very hot while charging,human,phone get hot charg
" under 50k this phone is amazing no one can beat iphone. All are good camera is amazing, design descent, performance mind blowing and battery very good. go for it without any hasitation.",human,k phone amaz one beat iphon good camera amaz design descent perform mind blow batteri good go without hasit
 Awesome display Awesome performance Good battery Awesome camera,human,awesom display awesom perform good batteri awesom camera
" Really the iPhone 13 is best one.I had dream to buy it.it is far better than any other phone.But one thing, the company must provide the  wireless charger with this phone.",human,realli iphon best one dream buy far better phone one thing compani must provid wireless charger phone
 Don't buy on flipkart...,human,buy flipkart
 Awesome phone too much battery life,human,awesom phone much batteri life
"The impact of digital technology on privacy and data protection is a constantly evolving issue, with ongoing debates about the balance between privacy and innovation.",bot,impact digit technolog privaci data protect constantli evolv issu ongo debat balanc privaci innov
He couldn't believe how lucky he was to be surrounded by such amazing people.,bot,believ lucki surround amaz peopl
"The use of robotics in space exploration and research presents opportunities for precision and efficiency, but also raises concerns about safety and ethical implications.",bot,use robot space explor research present opportun precis effici also rais concern safeti ethic implic
 Super iphone,human,super iphon
 Beautiful colour,human,beauti colour
"However, there are concerns about the impact of AI on jobs, privacy, and the potential for unintended consequences.",bot,howev concern impact ai job privaci potenti unintend consequ
 My 1st iPhone superb thank u Flipkart,human,st iphon superb thank u flipkart
"The field of environmental science seeks to understand the complex interactions between humans and the natural world, and to develop sustainable solutions for protecting the environment and conserving biodiversity.",bot,field environment scienc seek understand complex interact human natur world develop sustain solut protect environ conserv biodivers
 Upgraded from android to iphone. Overall a good smartphone. But Missing some useful features like split screen n pop up screen,human,upgrad android iphon overal good smartphon miss use featur like split screen n pop screen
"The internet has fundamentally changed the way we communicate and access information, enabling us to connect with people and ideas from all over the world.",bot,internet fundament chang way commun access inform enabl us connect peopl idea world
 Excellent,human,excel
 Good in every aspect,human,good everi aspect
"Social entrepreneurship has emerged as a new model of business that seeks to create positive social and environmental impacts, in addition to generating profits.",bot,social entrepreneurship emerg new model busi seek creat posit social environment impact addit gener profit
Sustainable agriculture practices such as regenerative farming and organic farming can help reduce environmental impacts and improve food security and nutrition.,bot,sustain agricultur practic regen farm organ farm help reduc environment impact improv food secur nutrit
" Awesome phone. Will say it the best phone ihave ever had, shifting from android to iphone for the first time and it is worth. Seamless performance and battery life is also impressive",human,awesom phone say best phone ihav ever shift android iphon first time worth seamless perform batteri life also impress
 Nice,human,nice
"The flowers were in full bloom, creating a sea of colors.",bot,flower full bloom creat sea color
 love with this one ??,human,love one
"The use of biotechnology in pharmaceuticals and drug development presents opportunities for breakthroughs and innovation, but also raises concerns about accessibility and ethical implications.",bot,use biotechnolog pharmaceut drug develop present opportun breakthrough innov also rais concern access ethic implic
"The impact of global trade and commerce on economic development and inequality is a complex issue, with ongoing efforts to address trade imbalances and promote fair trade.",bot,impact global trade commerc econom develop inequ complex issu ongo effort address trade imbal promot fair trade
" Excellent phone. Everybody knows why we go for apple devices. It is the impeccably refined experience in all possible categories we can associate with a phone and it excels at everything imho.Battery, Cameras, Screen you name it, the phone delivers a close to perfect experience.",human,excel phone everybodi know go appl devic impecc refin experi possibl categori associ phone excel everyth imho batteri camera screen name phone deliv close perfect experi
 Awesome  phone,human,awesom phone
" Overall performance, design, battery backup, camera quality best as compared with other available in the market",human,overal perform design batteri backup camera qualiti best compar avail market
 Felling good ??,human,fell good
" very good upgrade from 10 or below that, not worth upgrading from 11 onwards.",human,good upgrad worth upgrad onward
"The impact of automation on the energy industry and infrastructure is a growing area of interest and innovation, with potential implications for efficiency and environmental sustainability.",bot,impact autom energi industri infrastructur grow area interest innov potenti implic effici environment sustain
"AI is already being used in many industries, from healthcare to finance to transportation, to improve efficiency and productivity.",bot,ai alreadi use mani industri healthcar financ transport improv effici product
"The role of philosophy in society is to provide a framework for critical thinking and ethical decision-making, with a focus on metaphysics, epistemology, and ethics.",bot,role philosophi societi provid framework critic think ethic decis make focu metaphys epistemolog ethic
The natural language processing system was able to accurately detect the language of text with an accuracy of 99%.,bot,natur languag process system abl accur detect languag text accuraci
 Every day 10-12 hours play battle royale game very nice Phone  battery life good Camera good  iPhone 13 ????,human,everi day hour play battl royal game nice phone batteri life good camera good iphon
 Mind Blowing ??,human,mind blow
"The role of fashion in society is to provide a means of self-expression, identity, and cultural representation, with a focus on design, creativity, and innovation.",bot,role fashion societi provid mean self express ident cultur represent focu design creativ innov
 It's look too pretty??????,human,look pretti
She couldn't help but smile as she watched the children playing in the park.,bot,help smile watch children play park
"The sky was a vivid shade of pink, with clouds forming shapes that resembled animals and objects.",bot,sky vivid shade pink cloud form shape resembl anim object
" Overall Performance, design, and feel it is good, but the price is not justifying the camera quality at night.",human,overal perform design feel good price justifi camera qualiti night
 Product is genuine.,human,product genuin
"The use of drones in agriculture and surveying presents opportunities for efficient and accurate data collection, but also raises concerns about privacy and safety.",bot,use drone agricultur survey present opportun effici accur data collect also rais concern privaci safeti
 Camera is best a phone company can provide. I got this phone during big billion days sale. This is one of the best purchase I ever had.,human,camera best phone compani provid got phone big billion day sale one best purchas ever
" I have switched to iOS from Android. Camera, design and performance is very good. But one thing I noticed is that Android is much more intuitive to use.",human,switch io android camera design perform good one thing notic android much intuit use
 Really great product with best battery for everyday usage and really good camera,human,realli great product best batteri everyday usag realli good camera
 Perfect till the date.,human,perfect till date
"Don't compare yourself to others. Everyone has their own journey and timeline, so focus on your own progress and goals.",bot,compar other everyon journey timelin focu progress goal
" Waoo,Dream come true after long wait of 6 years ????",human,waoo dream come true long wait year
"The field of political science seeks to understand the nature and dynamics of political power, with a focus on institutions, ideology, and public policy.",bot,field polit scienc seek understand natur dynam polit power focu institut ideolog public polici
 The best Color !! Green ??,human,best color green
" Choose carefully I switched from Android to iPhone to try something new but I didn't liked iPhone that much in comparison to Android as iPhone is simple, boring and there not much that you can customise or get your way around in iPhone which you can in Android. So in the end iPhone was not for me and  for the people who are curious and do not want to get their hands tied up. So make up your mind carefully. I barely used iPhone  for about 2 months then I had to sell it because I was not gett...",human,choos care switch android iphon tri someth new like iphon much comparison android iphon simpl bore much customis get way around iphon android end iphon peopl curiou want get hand tie make mind care bare use iphon month sell gett
 Yellowish screen problem,human,yellowish screen problem
 Very nice,human,nice
 I write write review after 5 days1:-Genuine product came2:-Camera quality awesome3:-Battery performance 10/104:-Design awesomeOver all no phone to 13 series5:- No fraud Flipkart send always genuine product,human,write write review day genuin product came camera qualiti awesom batteri perform design awesomeov phone seri fraud flipkart send alway genuin product
 Mashaalah nice product ??,human,mashaalah nice product
 Good...,human,good
 Best in everything,human,best everyth
"AI can help us optimize our resources, reducing waste and increasing efficiency.",bot,ai help us optim resourc reduc wast increas effici
 Not bad but too much money wasted on this ??,human,bad much money wast
 Good quality product ??,human,good qualiti product
"The use of 3D printing in architecture and construction presents opportunities for customized and efficient building, but also raises concerns about safety and sustainability.",bot,use print architectur construct present opportun custom effici build also rais concern safeti sustain
" Camera lens has dust particles,it has manufacturing defects and Flipkart refused to replace. Please don't ever but from Flipkart. I contacted Apple and they said Flipkart will replace and seller has the responsibility now I can not do anything with it.I regret buying from Flipkart offline sores are more reliable than Flipkart.",human,camera len dust particl manufactur defect flipkart refus replac pleas ever flipkart contact appl said flipkart replac seller respons anyth regret buy flipkart offlin sore reliabl flipkart
 Buttery smooth. Amazing performance,human,butteri smooth amaz perform
"The impact of digital technology on democracy and governance is a constantly evolving issue, with ongoing debates about the impact of technology on political participation and decision-making.",bot,impact digit technolog democraci govern constantli evolv issu ongo debat impact technolog polit particip decis make
"The field of urban planning seeks to design and manage cities and communities, with a focus on sustainability, livability, and social equity.",bot,field urban plan seek design manag citi commun focu sustain livabl social equiti
One of the most important things to remember when you're trying to be successful is to never give up. Keep pushing forward and never let anything get in your way.,bot,one import thing rememb tri success never give keep push forward never let anyth get way
"The snow was falling softly outside, creating a peaceful atmosphere.",bot,snow fall softli outsid creat peac atmospher
 Rate changed every single minute,human,rate chang everi singl minut
 Excellent,human,excel
"The use of blockchain technology in voting systems presents opportunities for transparency and security, but also requires careful consideration of legal and regulatory frameworks.",bot,use blockchain technolog vote system present opportun transpar secur also requir care consider legal regulatori framework
 Awesome,human,awesom
 Just switched from Android to Iphone so good smooth experience till now but let's see in the coming days for real check.,human,switch android iphon good smooth experi till let see come day real check
 Nice phone. Good performance.,human,nice phone good perform
"The use of nanotechnology in medicine and drug delivery presents opportunities for targeted and effective treatment, but also raises concerns about safety and ethical implications.",bot,use nanotechnolog medicin drug deliveri present opportun target effect treatment also rais concern safeti ethic implic
 Brilliant Camera Work Full Use Of Money And Smoothness At Next Level ??,human,brilliant camera work full use money smooth next level
"AI can help us make smarter decisions, based on data and evidence rather than intuition or guesswork.",bot,ai help us make smarter decis base data evid rather intuit guesswork
 Amazing phone.,human,amaz phone
"The use of blockchain technology in voting and elections presents opportunities for transparency and security, but also requires careful consideration of legal and regulatory frameworks.",bot,use blockchain technolog vote elect present opportun transpar secur also requir care consider legal regulatori framework
" First time user, camera in night is not as expected. After started using felt not value for money",human,first time user camera night expect start use felt valu money
"The use of artificial intelligence in financial and investment services presents opportunities for efficiency and automation, but also raises concerns about data privacy and ethical implications.",bot,use artifici intellig financi invest servic present opportun effici autom also rais concern data privaci ethic implic
"The use of artificial intelligence in scientific research and discovery presents opportunities for breakthroughs and innovation, but also raises concerns about data privacy and ethical implications.",bot,use artifici intellig scientif research discoveri present opportun breakthrough innov also rais concern data privaci ethic implic
 Hey ! Please ignore negative comments regarding the seller. The product was genuine. So go ahead without any hesitation,human,hey pleas ignor neg comment regard seller product genuin go ahead without hesit
 Camera quality is superb.,human,camera qualiti superb
" After 15 years of using android, first iphone experience is very different, camera is very good, user experience is great",human,year use android first iphon experi differ camera good user experi great
"AI can help us better understand and address mental health issues, from identifying risk factors to developing personalized treatment plans.",bot,ai help us better understand address mental health issu identifi risk factor develop person treatment plan
 After using 10 minutes mobile will get heat,human,use minut mobil get heat
She couldn't believe how quickly time had passed.,bot,believ quickli time pass
 Received Today... Superb Performence.. Amazing Battery Backup.. The Colour is Amazing.. Well Designed??????,human,receiv today superb perform amaz batteri backup colour amaz well design
"The use of robotics in healthcare and medical services presents opportunities for precision and automation, but also raises concerns about job displacement and ethical implications.",bot,use robot healthcar medic servic present opportun precis autom also rais concern job displac ethic implic
 Amazing camera power full battery,human,amaz camera power full batteri
"The use of artificial intelligence in customer service presents opportunities for efficiency and personalized experiences, but also raises concerns about privacy and ethical implications.",bot,use artifici intellig custom servic present opportun effici person experi also rais concern privaci ethic implic
"AI can help us better understand and predict the behavior of financial fraud, improving our ability to detect and prevent fraudulent activities.",bot,ai help us better understand predict behavior financi fraud improv abil detect prevent fraudul activ
 Okay ??,human,okay
 It's awesome,human,awesom
 Worth to buy. Light weight. first time move from android to apple. not regret.,human,worth buy light weight first time move android appl regret
 Very nice phone..,human,nice phone
"The study of theology seeks to understand the nature of religious belief and practice across cultures and traditions, with a focus on doctrine, spirituality, and ethics.",bot,studi theolog seek understand natur religi belief practic across cultur tradit focu doctrin spiritu ethic
" Switch from Android to IOS---Simply Awesome.Got @47K during BBD.Battery, Speed, Camera, Display, look etc are all impressive.",human,switch android io simpli awesom got k bbd batteri speed camera display look etc impress
 Nice ??,human,nice
 Iphone Is iPhone,human,iphon iphon
" I switch to ios from android after 8yrs As expected, didn't disappoint meAwsome camera ?? picture quality is amazingAmazing battery health ??Face id is owsmI am satisfied to buy iphone 13",human,switch io android yr expect disappoint meawsom camera pictur qualiti amazingamaz batteri health face id owsmi satisfi buy iphon
"The role of journalism in society is to provide accurate and impartial reporting on current events and issues, with a focus on freedom of the press and ethical standards.",bot,role journal societi provid accur imparti report current event issu focu freedom press ethic standard
 First of all Flipkart delivered 3 days before the expected delivery. Kudos for that. I have just started using iPhone 13. Will review in few days.,human,first flipkart deliv day expect deliveri kudo start use iphon review day
"The impact of climate change on ocean health and biodiversity is a pressing concern, with potential implications for marine ecosystems and the livelihoods of coastal communities.",bot,impact climat chang ocean health biodivers press concern potenti implic marin ecosystem livelihood coastal commun
"The impact of automation on the service industry and customer experience is a growing area of interest and innovation, with potential implications for efficiency and job displacement.",bot,impact autom servic industri custom experi grow area interest innov potenti implic effici job displac
 its good and I loved it.,human,good love
"The role of technology in education is constantly evolving, with potential implications for accessibility and learning outcomes.",bot,role technolog educ constantli evolv potenti implic access learn outcom
"AI can help us better understand and predict the behavior of wildlife populations, from migr",bot,ai help us better understand predict behavior wildlif popul migr
"The use of 3D printing in healthcare and prosthetics presents opportunities for personalized and efficient treatment, but also raises concerns about accessibility and affordability.",bot,use print healthcar prosthet present opportun person effici treatment also rais concern access afford
 Very Good,human,good
 Phone received in package have minor scratch mark on glass and edge. Due to paucity of time for replacement had to start using with small defects. Apple needs to improve battery and RAM. Made in India is good sign against Chinese make.,human,phone receiv packag minor scratch mark glass edg due pauciti time replac start use small defect appl need improv batteri ram made india good sign chines make
"Natural disasters such as hurricanes, earthquakes, and wildfires pose significant risks to human life and infrastructure, highlighting the need for disaster preparedness and response.",bot,natur disast hurrican earthquak wildfir pose signific risk human life infrastructur highlight need disast prepared respons
"The impact of cybersecurity threats on national security and international relations is a pressing issue, with ongoing efforts to improve protection and prevent cyber attacks.",bot,impact cybersecur threat nation secur intern relat press issu ongo effort improv protect prevent cyber attack
 Amazing product.,human,amaz product
 iPhone 13 superb,human,iphon superb
"The use of virtual reality in healthcare and therapy presents opportunities for immersive and effective treatment, but also raises concerns about accessibility and privacy.",bot,use virtual realiti healthcar therapi present opportun immers effect treatment also rais concern access privaci
"The impact of social media on mental health and wellbeing is a growing concern, with studies suggesting links between social media use and depression, anxiety, and other mental health issues.",bot,impact social media mental health wellb grow concern studi suggest link social media use depress anxieti mental health issu
 I’m under loss after buying this product from flipkart,human,loss buy product flipkart
 Great Camera,human,great camera
" I was bit confused before buying but after 10 day of use, i am totally satisfied with the camera , design and performance. Overall performance is quite great no other phone in this price segment can match it.",human,bit confus buy day use total satisfi camera design perform overal perform quit great phone price segment match
 Wow,human,wow
"The use of biotechnology in genetic testing and counseling presents opportunities for personalized medicine and innovation, but also raises concerns about privacy and ethical implications.",bot,use biotechnolog genet test counsel present opportun person medicin innov also rais concern privaci ethic implic
 Switched from Android to Ios. Had a Great Experience. Just loved it??????,human,switch android io great experi love
"The wind whipped through the trees, bending their branches and tossing their leaves",bot,wind whip tree bend branch toss leav
"The impact of artificial intelligence on journalism and media is a growing area of interest and concern, with potential implications for media bias, accountability, and the role of journalists.",bot,impact artifici intellig journal media grow area interest concern potenti implic media bia account role journalist
 Purchased it for BGMI game just 10 days and lagging like 3 years used android...lot of heating.battery backup is also bad..really feeling bad man... 62k is a huge sum for me..,human,purchas bgmi game day lag like year use android lot heat batteri backup also bad realli feel bad man k huge sum
The development of renewable energy sources is critical for reducing our reliance on fossil fuels and mitigating the effects of climate change.,bot,develop renew energi sourc critic reduc relianc fossil fuel mitig effect climat chang
 Love it camera,human,love camera
 Finally brought iphone 13 256gb first impression is excellent all thought i shifted first time from Android to ios... Will update you later i use it,human,final brought iphon gb first impress excel thought shift first time android io updat later use
"The impact of digital technology on the art world and market is a constantly evolving issue, with ongoing debates about the role of technology in art production and distribution.",bot,impact digit technolog art world market constantli evolv issu ongo debat role technolog art product distribut
 I was more confused about phone . But when i buy this one . I really loved it ??super camera super performance and super natural color .. dual sim also . All payment apps working . Nice battery life . U can go for it,human,confus phone buy one realli love super camera super perform super natur color dual sim also payment app work nice batteri life u go
" Well, moved to iphone from Android. Everything is good and sound. I just really miss the fast charging and 120hz display. Other than than I am satisfied.",human,well move iphon android everyth good sound realli miss fast charg hz display satisfi
" Excellent phone camera is also awasome,,,,!!!",human,excel phone camera also awasom
 Excellent!!!!!,human,excel
"The use of biotechnology in genetic engineering presents opportunities for breakthroughs and innovation, but also raises concerns about ethical implications and unintended consequences.",bot,use biotechnolog genet engin present opportun breakthrough innov also rais concern ethic implic unintend consequ
"The use of artificial intelligence in law enforcement presents opportunities for predictive policing and efficient investigations, but also raises concerns about bias and civil liberties.",bot,use artifici intellig law enforc present opportun predict polic effici investig also rais concern bia civil liberti
" Made in India. Excellent performance, battery back up, camera.Full control over app permissions. Clean UI. Go for it.",human,made india excel perform batteri back camera full control app permiss clean ui go
"AI can help us optimize our agricultural practices, improving yields and reducing waste.",bot,ai help us optim agricultur practic improv yield reduc wast
"With thoughtful consideration and responsible development, AI could help us solve some of the world's most pressing problems, from climate change to disease to social inequality.",bot,thought consider respons develop ai could help us solv world press problem climat chang diseas social inequ
 First time use I phone nice phone .looking smart,human,first time use phone nice phone look smart
The sound of the rain tapping against the window was soothing.,bot,sound rain tap window sooth
 Like wow????,human,like wow
 Worth it,human,worth
"The use of blockchain technology in finance and commerce is transforming the way we conduct transactions, with a focus on security, transparency, and decentralization.",bot,use blockchain technolog financ commerc transform way conduct transact focu secur transpar decentr
 Mind blowing phone...!,human,mind blow phone
 Purchased it for my sister luckily got additional 4000 discount. Till now no complaints for this. This is the first iphone we purchased. Hopefully I will purchase it soon for myself too,human,purchas sister luckili got addit discount till complaint first iphon purchas hope purchas soon
"The possibilities of AI are endless, and we have only scratched the surface of what it can do.",bot,possibl ai endless scratch surfac
 Camera  is superb ????,human,camera superb
" Best phone in 60k , everything is working as perfection ????",human,best phone k everyth work perfect
"The impact of air pollution on public health and the environment is a pressing issue, with potential implications for respiratory illness, climate change, and ecological damage.",bot,impact air pollut public health environ press issu potenti implic respiratori ill climat chang ecolog damag
He felt a sense of accomplishment as he finally achieved his goal.,bot,felt sens accomplish final achiev goal
 Superb if you have bought this at a price below 55kNo one can beat this phone at this price .Night mode is awesome.,human,superb bought price kno one beat phone price night mode awesom
 Shot on iPhone 13,human,shot iphon
 Phone is very good but Flipkart delivery was a pain. Phone delivered day after the day of delivery at 11pm in the night.,human,phone good flipkart deliveri pain phone deliv day day deliveri pm night
"She closed her eyes and took a deep breath, trying to calm her nerves.",bot,close eye took deep breath tri calm nerv
 Awesome Product. Fastest Delivery. Thanks You Flipkart.,human,awesom product fastest deliveri thank flipkart
 Good,human,good
 my favourite iPhone 13,human,favourit iphon
Don't be afraid to take risks and try new things. You never know what might lead you to success.,bot,afraid take risk tri new thing never know might lead success
"The field of law encompasses a wide range of topics, from civil and criminal law to international law and human rights, with a focus on justice, fairness, and the rule of law.",bot,field law encompass wide rang topic civil crimin law intern law human right focu justic fair rule law
"The use of artificial intelligence in fraud detection presents opportunities for efficiency and accuracy, but also raises concerns about transparency and ethical implications.",bot,use artifici intellig fraud detect present opportun effici accuraci also rais concern transpar ethic implic
"The study of history provides a window into the past and a means of understanding the social, political, and cultural forces that have shaped human society over time.",bot,studi histori provid window past mean understand social polit cultur forc shape human societi time
 Good,human,good
"The use of blockchain technology in voting and election systems presents opportunities for transparency and security, but also requires careful consideration of legal and regulatory frameworks.",bot,use blockchain technolog vote elect system present opportun transpar secur also requir care consider legal regulatori framework
" This was my first IOS device and i loved it hope you do too….it’s overall great. As i have heard my friends crying over iphone battery, it’s not that bad….it’s good but can’t compare it with android but still its good….",human,first io devic love hope overal great heard friend cri iphon batteri bad good compar android still good
 Very good camera quality is great ??,human,good camera qualiti great
 Best phone for day to day use and photography/videography.,human,best phone day day use photographi videographi
 nice experience of having new iPhone 13Captures stunning pics at night ??,human,nice experi new iphon captur stun pic night
 We can't comment on Apple products except for their price????,human,comment appl product except price
" Compact power house, battery life is great, camera is awesome. Note:Flipkart needs to improve packaging.",human,compact power hous batteri life great camera awesom note flipkart need improv packag
Climate change is a global crisis that requires urgent action to reduce greenhouse gas emissions and mitigate the impacts on ecosystems and human societies.,bot,climat chang global crisi requir urgent action reduc greenhous ga emiss mitig impact ecosystem human societi
 I got very good price from sbi offer little bit scared of being buy at low price after i received i was very happy good phone my first switch from android to iphone its a beast ty Flipkart,human,got good price sbi offer littl bit scare buy low price receiv happi good phone first switch android iphon beast ty flipkart
"The field of environmental science seeks to understand the interactions between humans and the natural world, with a focus on sustainability, conservation, and ecological restoration.",bot,field environment scienc seek understand interact human natur world focu sustain conserv ecolog restor
"AI is transforming the way we live and work, and its impact will only continue to grow.",bot,ai transform way live work impact continu grow
 Nice performance and camera,human,nice perform camera
"As such, it is important to develop AI systems that are transparent, fair, and accountable, and that consider the ethical implications of their decisions.",bot,import develop ai system transpar fair account consid ethic implic decis
"AI has the potential to democratize access to information and services, bridging the gap between the haves and have-nots.",bot,ai potenti democrat access inform servic bridg gap have not
 Excellent mobile and seamless performance.,human,excel mobil seamless perform
"AI can help us improve the accuracy and efficiency of financial services, from investment management to credit scoring.",bot,ai help us improv accuraci effici financi servic invest manag credit score
 Awesome,human,awesom
 All are Awesome also Camera Performance But only one issue after IOS 16 update some battery drain,human,awesom also camera perform one issu io updat batteri drain
" Wrost BBD sale , very very disappointed, so bad ,",human,wrost bbd sale disappoint bad
 Loved it,human,love
"The use of blockchain technology in supply chain management presents opportunities for transparency and security, but also requires careful consideration of legal and regulatory frameworks.",bot,use blockchain technolog suppli chain manag present opportun transpar secur also requir care consider legal regulatori framework
" This is My first I Phone  yet i am using an android. But my experience of using an iPhone is awesome the camera quality, Display touch and response time. But there is only 1 Bad things about this is it is little bit expensive ??????",human,first phone yet use android experi use iphon awesom camera qualiti display touch respons time bad thing littl bit expens
" This is my first ever iOS experience shifted from android, and believe me this device is just mind blowing ,very smooth and premium feel ..I bought the midnight one ?? and loved it ..!",human,first ever io experi shift android believ devic mind blow smooth premium feel bought midnight one love
"The field of architecture seeks to design and construct buildings and spaces that meet the needs of individuals and communities, with a focus on aesthetics, functionality, and sustainability.",bot,field architectur seek design construct build space meet need individu commun focu aesthet function sustain
"The impact of globalization on cultural diversity and identity is a complex issue, with ongoing debates about the role of technology and international trade.",bot,impact global cultur divers ident complex issu ongo debat role technolog intern trade
 Nice phone ?? fast delivery best reseller,human,nice phone fast deliveri best resel
"Remember that success is a journey, not a destination. Enjoy the process and celebrate your accomplishments along the way.",bot,rememb success journey destin enjoy process celebr accomplish along way
"The fire crackled in the fireplace, creating a cozy atmosphere.",bot,fire crackl fireplac creat cozi atmospher
 It's way too amazing..,human,way amaz
"The use of artificial intelligence in finance and investment presents opportunities for predictive analytics and risk management, but also raises concerns about bias and ethical implications.",bot,use artifici intellig financ invest present opportun predict analyt risk manag also rais concern bia ethic implic
 Battery performance is best.Camera is not so good.No lag in PUBG/ BGMI. Fast processor.,human,batteri perform best camera good lag pubg bgmi fast processor
 Camera battery performance is good.,human,camera batteri perform good
" A good phone, wait for sales of flipkart because then you afford it...",human,good phone wait sale flipkart afford
 Awesome looking,human,awesom look
 Amazing,human,amaz
"AI can help us better understand and mitigate the effects of natural disasters, from predicting and preventing wildfires to optimizing emergency response.",bot,ai help us better understand mitig effect natur disast predict prevent wildfir optim emerg respons
" Change iPhone 11 to 13 ,performance is the same for both.but the camera and display are superb??",human,chang iphon perform camera display superb
She felt a sense of calm as she watched the waves rolling in.,bot,felt sens calm watch wave roll
 Overall great product,human,overal great product
" Good camera, good display, best quality discussion",human,good camera good display best qualiti discuss
 To keep iPhone was a big dream to me... At last i have fulfilled my dream.... Thanks to Flipkart... I am very happy.... And iPhone 13 totally superb... And features is more and good ????????,human,keep iphon big dream last fulfil dream thank flipkart happi iphon total superb featur good
 Camera is awesome,human,camera awesom
"The use of artificial intelligence in legal research and analysis presents opportunities for efficiency and accuracy, but also raises concerns about job displacement and ethical implications.",bot,use artifici intellig legal research analysi present opportun effici accuraci also rais concern job displac ethic implic
"The use of social media in communication and marketing has transformed the way individuals and organizations interact, with a focus on building relationships, engaging audiences, and sharing information.",bot,use social media commun market transform way individu organ interact focu build relationship engag audienc share inform
 Very good experience photography iphone 13,human,good experi photographi iphon
"The rise of artificial intelligence and automation in the workplace has the potential to transform industries and increase productivity, but also raises concerns about job displacement and the need for reskilling and upskilling programs.",bot,rise artifici intellig autom workplac potenti transform industri increas product also rais concern job displac need reskil upskil program
The neural network was trained on a large dataset of text and was able to generate high-quality poetry.,bot,neural network train larg dataset text abl gener high qualiti poetri
 Superb,human,superb
"The impact of artificial intelligence on creativity and innovation is a complex issue, with ongoing debates about the role of technology in the creative process.",bot,impact artifici intellig creativ innov complex issu ongo debat role technolog creativ process
"The use of biotechnology in genetic modification of crops presents opportunities for efficiency and sustainability, but also raises concerns about environmental implications and ethical considerations.",bot,use biotechnolog genet modif crop present opportun effici sustain also rais concern environment implic ethic consider
"The role of communication in society is to facilitate social interaction, exchange of ideas, and cultural transmission, with a focus on language, media, and technology.",bot,role commun societi facilit social interact exchang idea cultur transmiss focu languag media technolog
 Just amazing,human,amaz
"The music was loud and upbeat, filling the club with energy and excitement as people danced and mingled together.",bot,music loud upbeat fill club energi excit peopl danc mingl togeth
 Nice one ????,human,nice one
"The rise of digital currencies such as Bitcoin and Ethereum has disrupted traditional banking and finance models, with implications for security, regulation, and financial inclusion.",bot,rise digit currenc bitcoin ethereum disrupt tradit bank financ model implic secur regul financi inclus
"The study of mathematics seeks to understand the properties and relationships of numbers, shapes, and patterns, with applications in fields such as engineering, physics, and computer science.",bot,studi mathemat seek understand properti relationship number shape pattern applic field engin physic comput scienc
 Tq so much ????,human,tq much
"The use of blockchain technology in charitable giving and philanthropy presents opportunities for transparency and accountability, but also requires careful consideration of legal and regulatory frameworks.",bot,use blockchain technolog charit give philanthropi present opportun transpar account also requir care consider legal regulatori framework
" I've been a hardcore Android user for almost 13 years since 2009 and switching Android to iphone after 13 years, ofcourse I'll miss out on a lot of features but also get a chance to add up with great splendour features, so ofcourse pro-models comes with more / a lot of features but they change every year they get discontinue every year I found that non-pro models more beneficial than pro-models atleast they don't discontinue in a year, so talk about iphone 13 it's super sexy hot color starlig...",human,hardcor android user almost year sinc switch android iphon year ofcours miss lot featur also get chanc add great splendour featur ofcours pro model come lot featur chang everi year get discontinu everi year found non pro model benefici pro model atleast discontinu year talk iphon super sexi hot color starlig
 Best phone ????,human,best phone
"AI can help us personalize experiences, from shopping to entertainment, to better meet our individual needs and preferences.",bot,ai help us person experi shop entertain better meet individu need prefer
 Nice product very optimized battery front camera average  very good back camera,human,nice product optim batteri front camera averag good back camera
 It's awesome as always.,human,awesom alway
 Awesome phone. No problem in using. I have purchased it from flipcart. Two months over no problem at all. Particularlyin battery health issues. 100%.,human,awesom phone problem use purchas flipcart two month problem particularlyin batteri health issu
